hinge_1,hinge_2,hinge_3,elbow,torque_hinge_1,torque_hinge_2,torque_hinge_3,torque_elbow
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,-0.05480333851262195,3.469446951953614e-17,0.0,1.6263032587282567e-17,-6.483528991463317e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,-0.04483909514669069,9.020562075079397e-17,3.2526065174565133e-18,2.699663409488906e-17,5.746271514173174e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,-0.03487485178075943,-1.3183898417423734e-16,-9.107298248878237e-18,4.119968255444917e-18,1.6263032587282567e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,-0.02491060841482816,1.6653345369377348e-16,1.496198998029996e-17,-9.64939933512099e-18,-5.355958732078392e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,-0.014946365048896897,-1.457167719820518e-16,-7.806255641895632e-18,-1.5504091066542713e-17,-3.946495907847236e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,-0.0049821216829656345,1.3877787807814457e-17,1.929879867024198e-17,3.7947076036992655e-18,-5.0523821237824507e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,0.0049821216829656345,2.498001805406602e-16,-4.119968255444917e-18,-1.6371452804531117e-17,3.187554387107383e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,0.01494636504889689,-4.718447854656915e-16,0.0,2.2768245622195593e-18,2.2985086056692694e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,0.02491060841482816,1.457167719820518e-16,5.204170427930421e-18,-1.0842021724855044e-18,2.3418766925686896e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,0.03487485178075943,3.400058012914542e-16,-7.37257477290143e-18,-1.2902005852577503e-17,1.1644331332494318e-16
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,0.04483909514669068,6.245004513516506e-17,7.37257477290143e-18,4.336808689942018e-17,9.259086553026208e-17
-0.05480333851262195,0.0049821216829656345,-0.05480333851262195,0.05480333851262195,1.5265566588595902e-16,2.6020852139652106e-18,-3.7947076036992655e-18,1.5395670849294163e-17
-0.05480333851262195,0.0049821216829656345,-0.04483909514669069,-0.05480333851262195,9.020562075079397e-17,4.7704895589362195e-18,-1.3227266504323154e-17,-1.0408340855860843e-17
-0.05480333851262195,0.0049821216829656345,-0.04483909514669069,-0.04483909514669069,-3.3306690738754696e-16,-3.469446951953614e-18,3.404394821604484e-17,4.705437428587089e-17
-0.05480333851262195,0.0049821216829656345,-0.04483909514669069,-0.03487485178075943,-1.3877787807814457e-16,9.540979117872439e-18,-2.2551405187698492e-17,5.5077470362263625e-17
-0.05480333851262195,0.0049821216829656345,-0.04483909514669069,-0.02491060841482816,1.3877787807814457e-16,-8.890457814381136e-18,-5.421010862427522e-18,-1.7780915628762273e-17
